,zone_name,hh_zonal,nhh_zonal,residual,year,SETTLEMENT_DATE,ND,log_ND,inflation,operation_cost,amortization
0,Southern Scotland,6.362303,0.830136,14.0615049915674,2007,2007-12-31,667494566,20.3190418073816,5.588235,1433,245
1,Northern,9.884146,1.287148,14.0615049915674,2007,2007-12-31,667494566,20.3190418073816,5.588235,1433,245
2,North West,13.646168,1.73489,14.0615049915674,2007,2007-12-31,667494566,20.3190418073816,5.588235,1433,245
3,Yorkshire,13.61527,1.750626,14.0615049915674,2007,2007-12-31,667494566,20.3190418073816,5.588235,1433,245
4,N Wales & Mersey,14.084355,1.805802,14.0615049915674,2007,2007-12-31,667494566,20.3190418073816,5.588235,1433,245
5,East Midlands,16.370802,2.129626,14.0615049915674,2007,2007-12-31,667494566,20.3190418073816,5.588235,1433,245
6,Midlands,17.807318,2.301762,14.0615049915674,2007,2007-12-31,667494566,20.3190418073816,5.588235,1433,245
7,Eastern,17.060375,2.240442,14.0615049915674,2007,2007-12-31,667494566,20.3190418073816,5.588235,1433,245
8,South Wales,21.537451,2.713949,14.0615049915674,2007,2007-12-31,667494566,20.3190418073816,5.588235,1433,245
9,South East,20.076054,2.58619,14.0615049915674,2007,2007-12-31,667494566,20.3190418073816,5.588235,1433,245
10,London,22.164365,2.710106,14.0615049915674,2007,2007-12-31,667494566,20.3190418073816,5.588235,1433,245
11,Southern,21.100281,2.738161,14.0615049915674,2007,2007-12-31,667494566,20.3190418073816,5.588235,1433,245
12,South Western,23.77056,3.000403,14.0615049915674,2007,2007-12-31,667494566,20.3190418073816,5.588235,1433,245
13,Southern Scotland,7.950377,1.049619,15.4034021410723,2008,2008-12-31,663821116,20.3135232675306,17.13092,1461,244
14,Northern,10.899023,1.424364,15.4034021410723,2008,2008-12-31,663821116,20.3135232675306,17.13092,1461,244
15,North West,14.911638,1.95678,15.4034021410723,2008,2008-12-31,663821116,20.3135232675306,17.13092,1461,244
16,Yorkshire,14.829178,1.935788,15.4034021410723,2008,2008-12-31,663821116,20.3135232675306,17.13092,1461,244
17,N Wales & Mersey,15.460156,2.036959,15.4034021410723,2008,2008-12-31,663821116,20.3135232675306,17.13092,1461,244
18,East Midlands,17.620712,2.343048,15.4034021410723,2008,2008-12-31,663821116,20.3135232675306,17.13092,1461,244
19,Midlands,19.147817,2.543378,15.4034021410723,2008,2008-12-31,663821116,20.3135232675306,17.13092,1461,244
20,Eastern,18.364952,2.474431,15.4034021410723,2008,2008-12-31,663821116,20.3135232675306,17.13092,1461,244
21,South Wales,23.230707,2.940514,15.4034021410723,2008,2008-12-31,663821116,20.3135232675306,17.13092,1461,244
22,South East,21.50087,2.849708,15.4034021410723,2008,2008-12-31,663821116,20.3135232675306,17.13092,1461,244
23,London,23.548992,3.013718,15.4034021410723,2008,2008-12-31,663821116,20.3135232675306,17.13092,1461,244
24,Southern,22.19481,2.933872,15.4034021410723,2008,2008-12-31,663821116,20.3135232675306,17.13092,1461,244
25,South Western,25.212997,3.217128,15.4034021410723,2008,2008-12-31,663821116,20.3135232675306,17.13092,1461,244
26,Northern Scotland,3.379238,0.459137,16.9436936973134,2009,2009-12-31,629256522,20.2600495566459,0.2378121,1848,221
27,Southern Scotland,9.066432,1.138085,16.9436936973134,2009,2009-12-31,629256522,20.2600495566459,0.2378121,1848,221
28,Northern,12.059398,1.598288,16.9436936973134,2009,2009-12-31,629256522,20.2600495566459,0.2378121,1848,221
29,North West,16.542926,2.095188,16.9436936973134,2009,2009-12-31,629256522,20.2600495566459,0.2378121,1848,221
30,Yorkshire,16.29794,2.12668,16.9436936973134,2009,2009-12-31,629256522,20.2600495566459,0.2378121,1848,221
31,N Wales & Mersey,16.888703,2.028429,16.9436936973134,2009,2009-12-31,629256522,20.2600495566459,0.2378121,1848,221
32,East Midlands,19.130238,2.469531,16.9436936973134,2009,2009-12-31,629256522,20.2600495566459,0.2378121,1848,221
33,Midlands,20.526611,2.705483,16.9436936973134,2009,2009-12-31,629256522,20.2600495566459,0.2378121,1848,221
34,Eastern,20.005702,2.526505,16.9436936973134,2009,2009-12-31,629256522,20.2600495566459,0.2378121,1848,221
35,South Wales,23.683651,2.938924,16.9436936973134,2009,2009-12-31,629256522,20.2600495566459,0.2378121,1848,221
36,South East,23.844075,3.061244,16.9436936973134,2009,2009-12-31,629256522,20.2600495566459,0.2378121,1848,221
37,London,25.904688,3.033868,16.9436936973134,2009,2009-12-31,629256522,20.2600495566459,0.2378121,1848,221
38,Southern,24.471461,3.016744,16.9436936973134,2009,2009-12-31,629256522,20.2600495566459,0.2378121,1848,221
39,South Western,25.631634,3.200032,16.9436936973134,2009,2009-12-31,629256522,20.2600495566459,0.2378121,1848,221
40,Northern Scotland,5.865932,0.790954,18.5585598628042,2010,2010-12-31,640073556,20.2770936589639,5.812574,1693,240
41,Southern Scotland,11.218687,1.547861,18.5585598628042,2010,2010-12-31,640073556,20.2770936589639,5.812574,1693,240
42,Northern,14.523126,1.993796,18.5585598628042,2010,2010-12-31,640073556,20.2770936589639,5.812574,1693,240
43,North West,18.426326,2.552189,18.5585598628042,2010,2010-12-31,640073556,20.2770936589639,5.812574,1693,240
44,Yorkshire,18.344745,2.520788,18.5585598628042,2010,2010-12-31,640073556,20.2770936589639,5.812574,1693,240
45,N Wales & Mersey,18.891869,2.62578,18.5585598628042,2010,2010-12-31,640073556,20.2770936589639,5.812574,1693,240
46,East Midlands,20.934125,2.886193,18.5585598628042,2010,2010-12-31,640073556,20.2770936589639,5.812574,1693,240
47,Midlands,22.692635,3.184194,18.5585598628042,2010,2010-12-31,640073556,20.2770936589639,5.812574,1693,240
48,Eastern,21.835099,3.026211,18.5585598628042,2010,2010-12-31,640073556,20.2770936589639,5.812574,1693,240
49,South Wales,22.524989,3.028765,18.5585598628042,2010,2010-12-31,640073556,20.2770936589639,5.812574,1693,240
50,South East,24.63381,3.377343,18.5585598628042,2010,2010-12-31,640073556,20.2770936589639,5.812574,1693,240
51,London,26.756942,3.602492,18.5585598628042,2010,2010-12-31,640073556,20.2770936589639,5.812574,1693,240
52,Southern,25.49445,3.53718,18.5585598628042,2010,2010-12-31,640073556,20.2770936589639,5.812574,1693,240
53,South Western,26.057832,3.553243,18.5585598628042,2010,2010-12-31,640073556,20.2770936589639,5.812574,1693,240
54,Northern Scotland,6.535401,0.886871,3.60793266095396,2011,2011-12-31,615708712,20.2382845395296,11.88341,1730,264
55,Southern Scotland,11.730556,1.666105,3.60793266095396,2011,2011-12-31,615708712,20.2382845395296,11.88341,1730,264
56,Northern,15.684824,2.170176,3.60793266095396,2011,2011-12-31,615708712,20.2382845395296,11.88341,1730,264
57,North West,19.449161,2.736856,3.60793266095396,2011,2011-12-31,615708712,20.2382845395296,11.88341,1730,264
58,Yorkshire,19.582975,2.704505,3.60793266095396,2011,2011-12-31,615708712,20.2382845395296,11.88341,1730,264
59,N Wales & Mersey,20.204644,2.952899,3.60793266095396,2011,2011-12-31,615708712,20.2382845395296,11.88341,1730,264
60,East Midlands,22.205396,3.095769,3.60793266095396,2011,2011-12-31,615708712,20.2382845395296,11.88341,1730,264
61,Midlands,23.811436,3.387267,3.60793266095396,2011,2011-12-31,615708712,20.2382845395296,11.88341,1730,264
62,Eastern,22.671734,3.127405,3.60793266095396,2011,2011-12-31,615708712,20.2382845395296,11.88341,1730,264
63,South Wales,22.846195,3.097454,3.60793266095396,2011,2011-12-31,615708712,20.2382845395296,11.88341,1730,264
64,South East,26.737,3.736654,3.60793266095396,2011,2011-12-31,615708712,20.2382845395296,11.88341,1730,264
65,London,27.943266,3.779345,3.60793266095396,2011,2011-12-31,615708712,20.2382845395296,11.88341,1730,264
66,Southern,27.567648,3.910939,3.60793266095396,2011,2011-12-31,615708712,20.2382845395296,11.88341,1730,264
67,South Western,28.408897,3.887151,3.60793266095396,2011,2011-12-31,615708712,20.2382845395296,11.88341,1730,264
68,Northern Scotland,10.741418,1.481661,22.8283728703142,2012,2012-12-31,617954787,20.2419258525515,5.01002,1948,276
69,Southern Scotland,16.001744,2.260958,22.8283728703142,2012,2012-12-31,617954787,20.2419258525515,5.01002,1948,276
70,Northern,19.662769,2.720973,22.8283728703142,2012,2012-12-31,617954787,20.2419258525515,5.01002,1948,276
71,North West,22.838742,3.310579,22.8283728703142,2012,2012-12-31,617954787,20.2419258525515,5.01002,1948,276
72,Yorkshire,23.180244,3.216258,22.8283728703142,2012,2012-12-31,617954787,20.2419258525515,5.01002,1948,276
73,N Wales & Mersey,23.639502,3.392395,22.8283728703142,2012,2012-12-31,617954787,20.2419258525515,5.01002,1948,276
74,East Midlands,25.451532,3.602558,22.8283728703142,2012,2012-12-31,617954787,20.2419258525515,5.01002,1948,276
75,Midlands,27.358246,3.936288,22.8283728703142,2012,2012-12-31,617954787,20.2419258525515,5.01002,1948,276
76,Eastern,25.952047,3.633328,22.8283728703142,2012,2012-12-31,617954787,20.2419258525515,5.01002,1948,276
77,South Wales,25.257265,3.368021,22.8283728703142,2012,2012-12-31,617954787,20.2419258525515,5.01002,1948,276
78,South East,28.248124,3.987297,22.8283728703142,2012,2012-12-31,617954787,20.2419258525515,5.01002,1948,276
79,London,31.174616,4.169758,22.8283728703142,2012,2012-12-31,617954787,20.2419258525515,5.01002,1948,276
80,Southern,30.613447,4.343659,22.8283728703142,2012,2012-12-31,617954787,20.2419258525515,5.01002,1948,276
81,South Western,31.062748,4.226735,22.8283728703142,2012,2012-12-31,617954787,20.2419258525515,5.01002,1948,276
82,Northern Scotland,11.048877,1.51513,25.4084538235057,2013,2013-12-31,610990028,20.2305911962171,3.339695,2102,325
83,Southern Scotland,16.78982,2.362577,25.4084538235057,2013,2013-12-31,610990028,20.2305911962171,3.339695,2102,325
84,Northern,22.346537,3.079732,25.4084538235057,2013,2013-12-31,610990028,20.2305911962171,3.339695,2102,325
85,North West,25.18447,3.651462,25.4084538235057,2013,2013-12-31,610990028,20.2305911962171,3.339695,2102,325
86,Yorkshire,25.485035,3.508859,25.4084538235057,2013,2013-12-31,610990028,20.2305911962171,3.339695,2102,325
87,N Wales & Mersey,25.631093,3.665429,25.4084538235057,2013,2013-12-31,610990028,20.2305911962171,3.339695,2102,325
88,East Midlands,28.213308,3.956866,25.4084538235057,2013,2013-12-31,610990028,20.2305911962171,3.339695,2102,325
89,Midlands,29.201069,4.148986,25.4084538235057,2013,2013-12-31,610990028,20.2305911962171,3.339695,2102,325
90,Eastern,29.891866,4.153363,25.4084538235057,2013,2013-12-31,610990028,20.2305911962171,3.339695,2102,325
91,South Wales,27.541773,3.685374,25.4084538235057,2013,2013-12-31,610990028,20.2305911962171,3.339695,2102,325
92,South East,32.827362,4.564101,25.4084538235057,2013,2013-12-31,610990028,20.2305911962171,3.339695,2102,325
93,London,34.083066,4.601445,25.4084538235057,2013,2013-12-31,610990028,20.2305911962171,3.339695,2102,325
94,Southern,33.752057,4.741274,25.4084538235057,2013,2013-12-31,610990028,20.2305911962171,3.339695,2102,325
95,South Western,33.551731,4.598152,25.4084538235057,2013,2013-12-31,610990028,20.2305911962171,3.339695,2102,325
96,Northern Scotland,16.168316,2.18939,30.0524416731206,2014,2014-12-31,580968306,20.1802067625537,0.0923361,2375,341
97,Southern Scotland,21.236592,2.95093,30.0524416731206,2014,2014-12-31,580968306,20.1802067625537,0.0923361,2375,341
98,Northern,26.938177,3.666178,30.0524416731206,2014,2014-12-31,580968306,20.1802067625537,0.0923361,2375,341
99,North West,29.640148,4.243585,30.0524416731206,2014,2014-12-31,580968306,20.1802067625537,0.0923361,2375,341
100,Yorkshire,30.248609,4.112721,30.0524416731206,2014,2014-12-31,580968306,20.1802067625537,0.0923361,2375,341
101,N Wales & Mersey,29.715987,4.19635,30.0524416731206,2014,2014-12-31,580968306,20.1802067625537,0.0923361,2375,341
102,East Midlands,33.099594,4.584107,30.0524416731206,2014,2014-12-31,580968306,20.1802067625537,0.0923361,2375,341
103,Midlands,33.782559,4.739846,30.0524416731206,2014,2014-12-31,580968306,20.1802067625537,0.0923361,2375,341
104,Eastern,34.626967,4.751167,30.0524416731206,2014,2014-12-31,580968306,20.1802067625537,0.0923361,2375,341
105,South Wales,32.317145,4.270506,30.0524416731206,2014,2014-12-31,580968306,20.1802067625537,0.0923361,2375,341
106,South East,37.659037,5.170435,30.0524416731206,2014,2014-12-31,580968306,20.1802067625537,0.0923361,2375,341
107,London,38.547848,5.139357,30.0524416731206,2014,2014-12-31,580968306,20.1802067625537,0.0923361,2375,341
108,Southern,38.786441,5.38033,30.0524416731206,2014,2014-12-31,580968306,20.1802067625537,0.0923361,2375,341
109,South Western,38.699518,5.237436,30.0524416731206,2014,2014-12-31,580968306,20.1802067625537,0.0923361,2375,341
110,Northern Scotland,23.469195,3.388532,35.6349554797233,2015,2015-12-31,564366245,20.1512139692799,-7.749077,2529,375
111,Southern Scotland,26.78932,3.55974,35.6349554797233,2015,2015-12-31,564366245,20.1512139692799,-7.749077,2529,375
112,Northern,32.617844,4.283661,35.6349554797233,2015,2015-12-31,564366245,20.1512139692799,-7.749077,2529,375
113,North West,35.683316,4.874799,35.6349554797233,2015,2015-12-31,564366245,20.1512139692799,-7.749077,2529,375
114,Yorkshire,36.28769,5.185476,35.6349554797233,2015,2015-12-31,564366245,20.1512139692799,-7.749077,2529,375
115,N Wales & Mersey,35.62077,5.679363,35.6349554797233,2015,2015-12-31,564366245,20.1512139692799,-7.749077,2529,375
116,East Midlands,39.066214,5.234958,35.6349554797233,2015,2015-12-31,564366245,20.1512139692799,-7.749077,2529,375
117,Midlands,39.629994,5.487374,35.6349554797233,2015,2015-12-31,564366245,20.1512139692799,-7.749077,2529,375
118,Eastern,41.176427,5.539798,35.6349554797233,2015,2015-12-31,564366245,20.1512139692799,-7.749077,2529,375
119,South Wales,37.608777,5.245539,35.6349554797233,2015,2015-12-31,564366245,20.1512139692799,-7.749077,2529,375
120,South East,43.738784,5.808134,35.6349554797233,2015,2015-12-31,564366245,20.1512139692799,-7.749077,2529,375
121,London,46.237472,6.011081,35.6349554797233,2015,2015-12-31,564366245,20.1512139692799,-7.749077,2529,375
122,Southern,44.786928,6.088292,35.6349554797233,2015,2015-12-31,564366245,20.1512139692799,-7.749077,2529,375
123,South Western,43.979049,5.807268,35.6349554797233,2015,2015-12-31,564366245,20.1512139692799,-7.749077,2529,375
124,Northern Scotland,40.9660381011077,5.76778426192515,45.333825773085,2016,2016-12-31,550981503,20.1272117966807,-2.5,2818,390
125,Southern Scotland,40.2444525185522,6.20696035809493,45.333825773085,2016,2016-12-31,550981503,20.1272117966807,-2.5,2818,390
126,Northern,42.9279532830048,6.76589517593146,45.333825773085,2016,2016-12-31,550981503,20.1272117966807,-2.5,2818,390
127,North West,42.8280153413717,5.68802640062357,45.333825773085,2016,2016-12-31,550981503,20.1272117966807,-2.5,2818,390
128,Yorkshire,42.4938271455446,6.54308806811811,45.333825773085,2016,2016-12-31,550981503,20.1272117966807,-2.5,2818,390
129,N Wales & Mersey,42.6783952109188,6.47937972292886,45.333825773085,2016,2016-12-31,550981503,20.1272117966807,-2.5,2818,390
130,East Midlands,44.7245938282808,6.37532021642732,45.333825773085,2016,2016-12-31,550981503,20.1272117966807,-2.5,2818,390
131,Midlands,45.738925068228,6.35431101704772,45.333825773085,2016,2016-12-31,550981503,20.1272117966807,-2.5,2818,390
132,Eastern,46.5431129683204,6.35277042518246,45.333825773085,2016,2016-12-31,550981503,20.1272117966807,-2.5,2818,390
133,South Wales,42.3067223905322,6.40304971111593,45.333825773085,2016,2016-12-31,550981503,20.1272117966807,-2.5,2818,390
134,South East,49.2043131389246,6.65267728776617,45.333825773085,2016,2016-12-31,550981503,20.1272117966807,-2.5,2818,390
135,London,51.8702329576297,6.50802548038955,45.333825773085,2016,2016-12-31,550981503,20.1272117966807,-2.5,2818,390
136,Southern,50.0780275932158,6.48545262560682,45.333825773085,2016,2016-12-31,550981503,20.1272117966807,-2.5,2818,390
137,South Western,48.5804212535074,6.87789025203733,45.333825773085,2016,2016-12-31,550981503,20.1272117966807,-2.5,2818,390
138,Northern Scotland,29.577679,6.215608,47.2607562956279,2017,2017-12-31,531844802,20.0918622791818,6.051282,3093,419
139,Southern Scotland,30.480981,4.262747,47.2607562956279,2017,2017-12-31,531844802,20.0918622791818,6.051282,3093,419
140,Northern,39.223189,5.943493,47.2607562956279,2017,2017-12-31,531844802,20.0918622791818,6.051282,3093,419
141,North West,45.245665,5.878185,47.2607562956279,2017,2017-12-31,531844802,20.0918622791818,6.051282,3093,419
142,Yorkshire,44.967107,5.978783,47.2607562956279,2017,2017-12-31,531844802,20.0918622791818,6.051282,3093,419
143,N Wales & Mersey,46.791119,6.607274,47.2607562956279,2017,2017-12-31,531844802,20.0918622791818,6.051282,3093,419
144,East Midlands,47.889103,6.248796,47.2607562956279,2017,2017-12-31,531844802,20.0918622791818,6.051282,3093,419
145,Midlands,49.457444,6.426317,47.2607562956279,2017,2017-12-31,531844802,20.0918622791818,6.051282,3093,419
146,Eastern,49.61707,7.095134,47.2607562956279,2017,2017-12-31,531844802,20.0918622791818,6.051282,3093,419
147,South Wales,45.551887,5.77537,47.2607562956279,2017,2017-12-31,531844802,20.0918622791818,6.051282,3093,419
148,South East,52.537577,7.47522,47.2607562956279,2017,2017-12-31,531844802,20.0918622791818,6.051282,3093,419
149,London,54.969649,5.487378,47.2607562956279,2017,2017-12-31,531844802,20.0918622791818,6.051282,3093,419
150,Southern,53.40508,7.04792,47.2607562956279,2017,2017-12-31,531844802,20.0918622791818,6.051282,3093,419
151,South Western,51.955583,7.464813,47.2607562956279,2017,2017-12-31,531844802,20.0918622791818,6.051282,3093,419
152,Northern Scotland,26.304232,3.509185,46.933426,2018,2018-12-31,529571070,20.0875779349621,6.866538,3125,464
153,Southern Scotland,29.070427,3.91834,46.933426,2018,2018-12-31,529571070,20.0875779349621,6.866538,3125,464
154,Northern,37.816827,4.999041,46.933426,2018,2018-12-31,529571070,20.0875779349621,6.866538,3125,464
155,North West,43.806241,5.881985,46.933426,2018,2018-12-31,529571070,20.0875779349621,6.866538,3125,464
156,Yorkshire,44.073211,5.785198,46.933426,2018,2018-12-31,529571070,20.0875779349621,6.866538,3125,464
157,N Wales & Mersey,45.512765,5.928967,46.933426,2018,2018-12-31,529571070,20.0875779349621,6.866538,3125,464
158,East Midlands,47.501489,6.345087,46.933426,2018,2018-12-31,529571070,20.0875779349621,6.866538,3125,464
159,Midlands,48.796991,6.732502,46.933426,2018,2018-12-31,529571070,20.0875779349621,6.866538,3125,464
160,Eastern,49.428549,7.157677,46.933426,2018,2018-12-31,529571070,20.0875779349621,6.866538,3125,464
161,South Wales,45.80441,5.552697,46.933426,2018,2018-12-31,529571070,20.0875779349621,6.866538,3125,464
162,South East,52.110398,7.713198,46.933426,2018,2018-12-31,529571070,20.0875779349621,6.866538,3125,464
163,London,54.906683,6.10617,46.933426,2018,2018-12-31,529571070,20.0875779349621,6.866538,3125,464
164,Southern,53.419807,7.317489,46.933426,2018,2018-12-31,529571070,20.0875779349621,6.866538,3125,464
165,South Western,51.86752,7.560093,46.933426,2018,2018-12-31,529571070,20.0875779349621,6.866538,3125,464
